href,Target
https://www.posta.com.tr/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,0
https://penceretv.com/yasam/dedesi-ataturkun-kaptaniydi-kendi-sehir-hatlari-kaptani-119900h,0
https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,0
https://www.turkish.shafaqna.com/TR/AL/5891982,0
https://www.turkish.shafaqna.com/TR/AL/sou/sondakika.haber7.com/Haber 7,1
https://www.borsagundem.com/piyasa-ekrani/altin,1
https://qoshe.com/gazete/amrica-economa-en,1
https://www.borsagundem.com/piyasa-ekrani/canli-borsa,1
https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,0
https://www.sondakika.com/haber/haber-mucize-doktor-final-yapti-taner-olmez-diziye-14161905/,0
https://www.1lesikmedya.com/2021/dis-haberler/ida-kasirgasinin-bilancosu-artiyor/120412,0
https://www.f5haber.com/spor,1
https://www.f5haber.com/posta/6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-bugun-iett-otobus-metro-metrobus-bedava-mi-6019849,0
https://www.haberturk.com/ekonomi/otomobil,1
https://www.bagimsizgazete.com/pcr-testi-zorunlulugu-basladi,0
https://www.haberler.com/tumu/,1
https://muhalifyazar.com/iki-baskanimiz-da-basarili-oturakli,0
https://www.posta.com.tr/erkekler-iliskilerini-neden-gizler-haber-fotograf-2329623,0
https://ceogelisim.com/toplu-ulasim-ve-trafikte-yogunluk,0
https://theworldnews.net/,1
https://penceretv.com/asayis/istanbulda-dunya-baris-gunu-aciklamasina-polis-mudahalesi-47-gozalti-119865h,0
https://www.aa.com.tr/tr/gundem/sehirlerarasi-toplu-tasimada-pcr-testi-zorunlulugu-basladi/2356505,0
https://www.posta.com.tr/bugun-iett-otobus-metro-metrobus-bedava-mi-6-eylul-okulun-ilk-gunu-toplu-tasima-ucretsiz-mi-2371185,0
https://www.haberler.com/servetine-servet-ekleyen-aleyna-tilki-600-bin-tl-14162146-haberi/,0
https://www.f5haber.com/yeni-ford-focus-fiyatlari-inanilir-gibi-degil-guncel-liste-cok-baska-fotogaleri-5939072,0
https://theworldnews.net/us-news,1
https://www.medyapress.com.tr/gundem/turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar/?utm_source=rss&utm_medium=rss&utm_campaign=turkiyede-yeni-donem-basliyor-iste-merak-edilen-tum-detaylar,0
https://www.posta.com.tr/,1
https://qoshe.com/gazete/aeon-en,1
http://www.polatliistiklal.com/2021/09/06/asisi-olmayana-test-zorunlulugu-bugun-basliyor,0
https://www.turkish.shafaqna.com/TR/AL/sou/sondakika.haber7.com/Haber 7,1
https://www.borsagundem.com/#turkiye,1
https://www.bihaberver.com/haber/istanbulda-toplu-ulasimda-kis-tarifesine-geciliyor-seferler-artiriliyor/361402,0
https://www.haberler.com/mucize-doktor-64-bolumuyle-ekrana-veda-etti-14161834-haberi/,0
